llm,model,version,run,filename,pylint_score,syntax_ok,imports_ratio,lines_of_code,execution_success,execution_time,filepath
gemini,gemini-2.5-pro,v1,1,v1_base_cnn_gemini-2.5-pro_gemini_run1_20260704_191208.py,8.11,True,0.75,204,True,29.03471088409424,/content/drive/MyDrive/LeLePhid_LLM_CNN/src/historical_models/run_1/gemini/v1_base_cnn_gemini-2.5-pro_gemini_run1_20260704_191208.py
gemini,gemini-2.5-pro,v1,1,v1_base_cnn_gemini-2.5-pro_gemini_run2_20260704_191300.py,6.79,True,0.75,208,True,15.67014765739441,/content/drive/MyDrive/LeLePhid_LLM_CNN/src/historical_models/run_1/gemini/v1_base_cnn_gemini-2.5-pro_gemini_run2_20260704_191300.py
gemini,gemini-2.5-pro,v2,1,v2_pytorch_cnn_gemini-2.5-pro_gemini_run1_20260704_191620.py,8.19,True,0.5,184,True,17.070634126663208,/content/drive/MyDrive/LeLePhid_LLM_CNN/src/historical_models/run_1/gemini/v2_pytorch_cnn_gemini-2.5-pro_gemini_run1_20260704_191620.py
gpt,gpt-4o,v1,1,v1_base_cnn_gpt-4o_gpt_run1_20260704_191311.py,9.12,True,0.5,104,True,14.91752290725708,/content/drive/MyDrive/LeLePhid_LLM_CNN/src/historical_models/run_1/gpt/v1_base_cnn_gpt-4o_gpt_run1_20260704_191311.py
gpt,gpt-4o,v1,1,v1_base_cnn_gpt-4o_gpt_run2_20260704_191319.py,7.43,True,0.5,112,True,14.7248375415802,/content/drive/MyDrive/LeLePhid_LLM_CNN/src/historical_models/run_1/gpt/v1_base_cnn_gpt-4o_gpt_run2_20260704_191319.py
gpt,gpt-4o,v2,1,v2_pytorch_cnn_gpt-4o_gpt_run1_20260704_192631.py,6.97,True,0.5,98,True,15.40567135810852,/content/drive/MyDrive/LeLePhid_LLM_CNN/src/historical_models/run_1/gpt/v2_pytorch_cnn_gpt-4o_gpt_run1_20260704_192631.py
gpt,gpt-4o,v2,1,v2_pytorch_cnn_gpt-4o_gpt_run2_20260704_192639.py,7.47,True,0.5,104,True,14.586738348007202,/content/drive/MyDrive/LeLePhid_LLM_CNN/src/historical_models/run_1/gpt/v2_pytorch_cnn_gpt-4o_gpt_run2_20260704_192639.py
gpt,gpt-4o,v3,1,v3_tensorflow_cnn_gpt-4o_gpt_run1_20260704_194821.py,0.0,True,0.5,68,True,40.62222599983215,/content/drive/MyDrive/LeLePhid_LLM_CNN/src/historical_models/run_1/gpt/v3_tensorflow_cnn_gpt-4o_gpt_run1_20260704_194821.py
gpt,gpt-4o,v3,1,v3_tensorflow_cnn_gpt-4o_gpt_run2_20260704_194827.py,0.0,True,0.5,70,True,39.63753533363342,/content/drive/MyDrive/LeLePhid_LLM_CNN/src/historical_models/run_1/gpt/v3_tensorflow_cnn_gpt-4o_gpt_run2_20260704_194827.py
grok,grok-4-1-fast-reasoning,v1,1,v1_base_cnn_grok-4-1-fast-reasoning_grok_run1_20260704_191332.py,8.1,True,0.5,135,True,17.883729934692383,/content/drive/MyDrive/LeLePhid_LLM_CNN/src/historical_models/run_1/grok/v1_base_cnn_grok-4-1-fast-reasoning_grok_run1_20260704_191332.py
